2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
16358.05,18408.3,25317.04,32174.79,35397.73,40137.46,Alajuela,Alajuela,Egresos municipales per cápita
13887.48,15993.42,28609.61,45398.72,45262.2,42167.18,Alfaro Ruiz,Alajuela,Egresos municipales per cápita
9432.574,13695.26,24968.2,10052.88,25070.17,25783.99,Atenas,Alajuela,Egresos municipales per cápita
16420.28,18775.24,25577.2,25474.2,29524.53,37145.35,Grecia,Alajuela,Egresos municipales per cápita
5525.317,6508.937,8659.438,13169.98,13135.05,16970.27,Guatuso,Alajuela,Egresos municipales per cápita
7987.067,9191.916,10367.53,4287.607,16669.91,24287.76,Los Chiles,Alajuela,Egresos municipales per cápita
12219.35,13450.07,19339.07,22392.72,29717.95,26401.5,Naranjo,Alajuela,Egresos municipales per cápita
19348.86,31074.73,43089.94,48205.21,54469.91,60731.11,Orotina,Alajuela,Egresos municipales per cápita
13268.01,14399.58,23262.83,26889.06,30101.73,26051.61,Palmares,Alajuela,Egresos municipales per cápita
13974.59,18412.85,23380.78,30516.55,28943.97,32345.4,Poás,Alajuela,Egresos municipales per cápita
12374.6,14516.56,23800.2,23845.7,25364.77,28443.93,San Carlos,Alajuela,Egresos municipales per cápita
17370.21,17213.29,35215.45,61896.81,60539.73,39464.01,San Mateo,Alajuela,Egresos municipales per cápita
10974.81,11304.13,27280.41,22296.86,25920.71,33011.06,San Ramón,Alajuela,Egresos municipales per cápita
6688.093,7243.67,11212.01,17822.95,19104.53,20326.87,Upala,Alajuela,Egresos municipales per cápita
14425.75,16423.69,19935.13,38313,38623.93,38929.37,Valverde Vega,Alajuela,Egresos municipales per cápita
13612.14,12379.61,16947.18,22764.69,25523.14,27888.24,Alvarado,Cartago,Egresos municipales per cápita
25418.63,39827.7,43425.89,48858.68,55264.45,60717.39,Cartago,Cartago,Egresos municipales per cápita
9431.179,15448.19,19157.95,18929.12,13260.36,22858.58,El Guarco,Cartago,Egresos municipales per cápita
8189.788,8645.642,25304.88,23675.75,19930.85,26271.1,Jiménez,Cartago,Egresos municipales per cápita
16020.48,16432.5,24090.94,30747.3,34677.23,39514.16,La Unión,Cartago,Egresos municipales per cápita
14320.22,14051.67,15601.89,20598.35,20606.53,20812.16,Oreamuno,Cartago,Egresos municipales per cápita
12862.42,13968.18,17589.94,18231.31,22822.03,29385.58,Paraíso,Cartago,Egresos municipales per cápita
9936.135,15819.62,20509.71,20235.84,22166.52,25945.97,Turrialba,Cartago,Egresos municipales per cápita
32298.79,38064.82,49599.76,62128.37,63932.63,72626.16,Abangares,Guanacaste,Egresos municipales per cápita
13444.15,18811.65,38049.52,45853.71,42217.3,38027.38,Bagaces,Guanacaste,Egresos municipales per cápita
19144.74,25570.94,35418.26,61007.86,42614,51433.86,Cañas,Guanacaste,Egresos municipales per cápita
20973.53,26238.77,51527.84,67012.49,65298.04,75929.63,Carrillo,Guanacaste,Egresos municipales per cápita
17848.06,26524.65,63997.23,48053.03,41117.43,37631.86,Hojancha,Guanacaste,Egresos municipales per cápita
13955.33,18120.28,30913.62,37588.2,76039.09,49540.26,La Cruz,Guanacaste,Egresos municipales per cápita
20307.01,24741.82,33180.85,38937.31,42351.47,36907.17,Liberia,Guanacaste,Egresos municipales per cápita
22604.96,30249.01,42694.76,72182.41,51198.13,64953.98,Nandayure,Guanacaste,Egresos municipales per cápita
14273.18,17353.25,22971.32,35196.86,27059.85,36644.67,Nicoya,Guanacaste,Egresos municipales per cápita
24110.5,39935.26,45116.36,58080.06,58621.75,59942.56,Santa Cruz,Guanacaste,Egresos municipales per cápita
17281.09,22373.38,48794.68,36950.21,39509.51,44581.38,Tilarán,Guanacaste,Egresos municipales per cápita
14217.5,16010.67,26236.36,26483.07,29149.63,27167.8,Barva,Heredia,Egresos municipales per cápita
90895.39,109483.7,134327.2,160355.1,174596.8,178505,Belén,Heredia,Egresos municipales per cápita
23258.22,29692.88,33952.91,42052.9,50410.54,49215.42,Flores,Heredia,Egresos municipales per cápita
20643.32,28474.85,34408.2,42212.77,61172.29,47841.61,Heredia,Heredia,Egresos municipales per cápita
18656.1,21141.61,27944.53,33532.55,32446.81,32507,San Isidro,Heredia,Egresos municipales per cápita
16495.44,22532.49,26527.63,30490.63,36236.3,46487.77,San Pablo,Heredia,Egresos municipales per cápita
15006.96,15950.1,20058.46,23224.14,27912.47,32597.33,San Rafael,Heredia,Egresos municipales per cápita
11473.16,17263.01,16717.14,22916.43,25104.34,19401.99,Santa Bárbara,Heredia,Egresos municipales per cápita
23683.13,25146.27,34207.89,39397.74,44035.5,52674.68,Santo Domingo,Heredia,Egresos municipales per cápita
9005.359,11276.72,25977.21,25190.62,19572.43,21405.99,Sarapiquí,Heredia,Egresos municipales per cápita
7411.956,10897.92,15777.11,14748.43,15024.01,17186.24,Guácimo,Limón,Egresos municipales per cápita
15891.46,21476.19,23557.87,25615.87,34109.06,39138.55,Limón,Limón,Egresos municipales per cápita
15664.42,17538.47,31167.71,34102.47,28432.28,29278.18,Matina,Limón,Egresos municipales per cápita
8425.533,11501.17,12919.39,20771.17,17734.49,24108.83,Pococí,Limón,Egresos municipales per cápita
9884.111,12006.63,17364.79,23652.96,21454.41,20633.85,Siquirres,Limón,Egresos municipales per cápita
12351.96,12919.41,35096.92,21179.29,20850.76,23313.36,Talamanca,Limón,Egresos municipales per cápita
24837.81,34799.28,51891.47,64240.67,62411.76,70751.13,Aguirre,Puntarenas,Egresos municipales per cápita
6510.621,8517.079,6331.996,10843.8,13631.44,15175.26,Buenos Aires,Puntarenas,Egresos municipales per cápita
11790.69,13590.71,19551.72,18162.05,26089.86,32389.62,Corredores,Puntarenas,Egresos municipales per cápita
4540.672,5611.188,9047.021,12879.4,20466.44,15191.09,Coto Brus,Puntarenas,Egresos municipales per cápita
16116.63,23137.25,34847.14,35085.02,40006.3,42676.34,Esparza,Puntarenas,Egresos municipales per cápita
40748.46,86273.99,213227.4,145336.9,132469.1,139429.7,Garabito,Puntarenas,Egresos municipales per cápita
9381.284,21023.25,45907.39,30373.37,9895.367,14411.54,Golfito,Puntarenas,Egresos municipales per cápita
17743.97,24096.38,29326.09,40467.71,33899.69,34168.8,Montes de Oro,Puntarenas,Egresos municipales per cápita
8399.922,18616.14,44934.06,53146.62,43476.84,39357.41,Osa,Puntarenas,Egresos municipales per cápita
19969.66,35155.33,34796.33,56735.29,55282.77,57607.06,Parrita,Puntarenas,Egresos municipales per cápita
23439.79,27275.13,36384,36404.16,40613.13,42877.5,Puntarenas,Puntarenas,Egresos municipales per cápita
4112.417,5661.921,10219.59,12215.04,14913.74,17586.64,Acosta,San José,Egresos municipales per cápita
6177.399,8112.916,11427.54,14972.36,11755.98,10949.43,Alajuelita,San José,Egresos municipales per cápita
9664.247,11130.07,16682.32,16644.64,20161.16,17747.75,Aserrí,San José,Egresos municipales per cápita
23190.38,29348.08,41649.77,40494.57,46203.2,59306.73,Curridabat,San José,Egresos municipales per cápita
9954.372,11475.74,17157.24,19165.74,22885.29,22943.3,Desamparados,San José,Egresos municipales per cápita
11102.91,12655.89,13858.97,32294.63,21274.46,23728.88,Dota,San José,Egresos municipales per cápita
43018.15,51160.38,63566.48,85343.34,91144.1,114080,Escazú,San José,Egresos municipales per cápita
19224.23,22438.39,27185.2,29439.71,34516.86,39907.49,Goicoechea,San José,Egresos municipales per cápita
6914.567,7578.734,11710.06,28401.51,18403,15972.8,León Cortés,San José,Egresos municipales per cápita
31457.81,18002.71,43848.4,55126.97,54847.36,62249.69,Montes de Oca,San José,Egresos municipales per cápita
11995.53,15092.66,26439.75,29664,32907.02,39201.13,Mora,San José,Egresos municipales per cápita
16225.5,18812.21,25723.25,33494.85,31405.24,35886.89,Moravia,San José,Egresos municipales per cápita
9275.086,11613.39,19198.21,23227.21,19829.29,20301.93,Pérez Zeledón,San José,Egresos municipales per cápita
8905.466,9107.385,17254.23,18185.33,16950.4,18883.32,Puriscal,San José,Egresos municipales per cápita
60697.54,71972.94,87328.14,106707.8,117571.2,135282.5,San José,San José,Egresos municipales per cápita
32382.5,46988.21,59863.46,71453.3,84273.91,84385.31,Santa Ana,San José,Egresos municipales per cápita
11381.98,13645.42,22278.91,21937.33,26989.53,28454.42,Tarrazú,San José,Egresos municipales per cápita
13177.47,27148.62,22186.62,31147.04,42804.86,49537.7,Tibás,San José,Egresos municipales per cápita
9311.542,11954.95,29063.01,18882.23,28568.09,29684.93,Turrubares,San José,Egresos municipales per cápita
16579.19,18942.27,22060.99,27034.35,35570.09,32233.84,Vázquez de Coronado,San José,Egresos municipales per cápita
