2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
429.6247,553.8141,652.6256,603.5842,305.9089,431.4449,Alajuela,Alajuela,Metros cuadrados de construcción nueva por km2
25.43827,38.1171,46.89619,34.66994,43.67223,81.27473,Alfaro Ruiz,Alajuela,Metros cuadrados de construcción nueva por km2
188.4607,258.2429,240.8721,134.1385,131.9838,182.0597,Atenas,Alajuela,Metros cuadrados de construcción nueva por km2
188.9169,127.9597,133.0445,101.1203,101.6763,124.0652,Grecia,Alajuela,Metros cuadrados de construcción nueva por km2
6.210534,8.531069,11.89703,8.273671,15.40952,5.446262,Guatuso,Alajuela,Metros cuadrados de construcción nueva por km2
4.298644,6.226939,6.823932,5.791494,5.072606,5.933949,Los Chiles,Alajuela,Metros cuadrados de construcción nueva por km2
243.3375,220.3479,192.5567,203.2025,183.9089,159.1977,Naranjo,Alajuela,Metros cuadrados de construcción nueva por km2
110.6451,213.2305,160.3139,81.41451,125.5387,77.33533,Orotina,Alajuela,Metros cuadrados de construcción nueva por km2
503.2324,734.2889,841.2518,502.523,426.7216,573.5688,Palmares,Alajuela,Metros cuadrados de construcción nueva por km2
133.5128,144.0216,139.5662,58.43471,42.98303,138.2797,Poás,Alajuela,Metros cuadrados de construcción nueva por km2
30.74155,43.71655,45.12551,24.49232,28.1692,28.23971,San Carlos,Alajuela,Metros cuadrados de construcción nueva por km2
26.58767,43.52371,59.20464,28.67687,37.36732,43.41249,San Mateo,Alajuela,Metros cuadrados de construcción nueva por km2
55.00611,87.69138,77.52438,53.67239,48.6812,51.65116,San Ramón,Alajuela,Metros cuadrados de construcción nueva por km2
8.471573,10.72518,9.398043,4.835211,6.250195,8.227,Upala,Alajuela,Metros cuadrados de construcción nueva por km2
122.177,95.51809,90.40417,41.53503,72.2934,119.1669,Valverde Vega,Alajuela,Metros cuadrados de construcción nueva por km2
86.90495,100.2047,98.34176,63.73523,104.3748,95.38078,Alvarado,Cartago,Metros cuadrados de construcción nueva por km2
222.9575,288.8542,312.5061,138.5132,293.6006,551.2698,Cartago,Cartago,Metros cuadrados de construcción nueva por km2
132.3698,186.1942,168.2706,57.17539,77.69271,120.8083,El Guarco,Cartago,Metros cuadrados de construcción nueva por km2
12.40756,26.12743,18.71082,24.57082,15.32186,20.64088,Jiménez,Cartago,Metros cuadrados de construcción nueva por km2
1804.618,2377.658,3657.149,1098.3,1241.326,2237.554,La Unión,Cartago,Metros cuadrados de construcción nueva por km2
198.9909,101.6106,141.4671,58.53692,79.0162,106.3647,Oreamuno,Cartago,Metros cuadrados de construcción nueva por km2
40.12659,57.47384,69.13899,42.99797,63.25302,95.94993,Paraíso,Cartago,Metros cuadrados de construcción nueva por km2
22.37967,19.70093,21.73129,16.62646,18.13752,15.16289,Turrialba,Cartago,Metros cuadrados de construcción nueva por km2
18.31218,18.95747,24.45127,19.08475,11.81345,17.18737,Abangares,Guanacaste,Metros cuadrados de construcción nueva por km2
6.476224,6.343652,16.2797,8.680427,6.96156,9.743289,Bagaces,Guanacaste,Metros cuadrados de construcción nueva por km2
12.54922,22.39802,15.77156,17.1335,15.16169,20.5215,Cañas,Guanacaste,Metros cuadrados de construcción nueva por km2
224.4091,343.6937,247.992,43.73095,23.26817,38.49375,Carrillo,Guanacaste,Metros cuadrados de construcción nueva por km2
