2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
0,0531966;0,0247769;0,0230294;0,0328391;0,1071391;0,0588951;Alajuela;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0235515;0,0475619;0,011185;0,0100032;0,0353709;0,0375058;Alfaro Ruiz;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0779324;0,0615029;0,0298751;0,0202877;0,0818039;0,092179;Atenas;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0317371;0,0447054;0,0650398;0,0032463;0,0738629;0,1029753;Grecia;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,11126;0,0881425;0,0606628;0,0395132;0,0563777;0,0400498;Guatuso;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,1707548;0,0705135;0,0512374;0,0523024;0,0748744;0,0560428;Los Chiles;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0208165;0,0185545;0,0105072;-0,0105373;0,0431535;0,0066408;Naranjo;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,4422266;0,1769498;0,044312;-0,0449102;-0,0065412;0,0096508;Orotina;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0328597;0,1204114;0,0092224;-0,0956395;0,0162401;0,0149521;Palmares;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0373551;0,0625993;-0,009342;-0,0062841;0,0383111;0,017948;Poás;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0928307;0,0982986;0,0485693;0,0434483;0,0444651;0,05835;San Carlos;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,1183521;0,0996839;0,0554972;0,0590153;-0,0276079;0,0042536;San Mateo;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0577523;0,0433632;0,0256576;-0,0016971;-0,0317068;0,0825697;San Ramón;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0718735;0,091638;0,082872;0,0629878;0,0751221;0,0634735;Upala;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,015154;0,0678496;0,2621019;-0,0174616;-0,079822;-0,0033429;Valverde Vega;Alajuela;Tasa de crecimiento del consumo eléctrico total
0,0117852;0,0391955;0,0241773;0,1837873;-0,105171;0,0080361;Alvarado;Cartago;Tasa de crecimiento del consumo eléctrico total
0,0471104;0,0595432;-0,010969;-0,061253;0,0331672;-0,0211612;Cartago;Cartago;Tasa de crecimiento del consumo eléctrico total
0,1004199;0,0369279;0,0703561;-0,0630029;0,1826466;-0,0433496;El Guarco;Cartago;Tasa de crecimiento del consumo eléctrico total
-0,3537887;-0,0764509;0,0082194;0,0017199;0,4522316;-0,1980868;Jiménez;Cartago;Tasa de crecimiento del consumo eléctrico total
0,0642937;0,0293002;0,0275326;-0,0224889;-0,0462183;0,0012597;La Unión;Cartago;Tasa de crecimiento del consumo eléctrico total
0,0328202;0,0393961;0,062877;-0,0150636;0,0173377;0,0202198;Oreamuno;Cartago;Tasa de crecimiento del consumo eléctrico total
0,0574457;0,0300584;0,0206149;-0,0202349;0,0308476;-0,0468536;Paraíso;Cartago;Tasa de crecimiento del consumo eléctrico total
0,0204452;0,052816;0,0373676;-0,0058462;0,028048;0,0305115;Turrialba;Cartago;Tasa de crecimiento del consumo eléctrico total
