2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
5631,13;5685,25;5529,433;3872,428;4465,507;5313,897;Alajuela;Alajuela;Exportaciones totales por trabajador
161,0111;271,0636;191,6302;148,5242;187,2015;209,8413;Alfaro Ruiz;Alajuela;Exportaciones totales por trabajador
45,56556;34,55773;64,59052;6,79365;119,596;125,904;Atenas;Alajuela;Exportaciones totales por trabajador
1542,38;1675,288;2339,663;2318,278;3574,93;5408,413;Grecia;Alajuela;Exportaciones totales por trabajador
2155,728;2315,338;2321,467;2394,098;324,9204;40,69983;Guatuso;Alajuela;Exportaciones totales por trabajador
0,1396215;0;25,03762;0;38,40579;42,73416;Los Chiles;Alajuela;Exportaciones totales por trabajador
118,8797;120,3301;94,09123;55,37574;145,4158;127,9894;Naranjo;Alajuela;Exportaciones totales por trabajador
2638,07;2256,595;4758,721;2533,735;2221,057;3627,845;Orotina;Alajuela;Exportaciones totales por trabajador
802,5468;618,1735;516,9683;434,9049;759,3207;606,7585;Palmares;Alajuela;Exportaciones totales por trabajador
2374,995;2157,341;2545,442;2493,922;2074,598;2702,077;Poás;Alajuela;Exportaciones totales por trabajador
3954,19;4608,326;4976,284;4374,316;6352,259;6831,269;San Carlos;Alajuela;Exportaciones totales por trabajador
17,79572;7,032511;7,242351;6,842713;5,573425;6,549976;San Mateo;Alajuela;Exportaciones totales por trabajador
585,7225;489,5709;558,2893;504,837;434,2415;459,2764;San Ramón;Alajuela;Exportaciones totales por trabajador
270,366;361,7656;417,9181;1255,917;1863,743;2512,187;Upala;Alajuela;Exportaciones totales por trabajador
1206,984;1526,846;1536,057;2044,38;1642,909;1666,165;Valverde Vega;Alajuela;Exportaciones totales por trabajador
41,84196;424,3559;273,826;91,83628;299,7924;299,0595;Alvarado;Cartago;Exportaciones totales por trabajador
9630,229;10763,56;8376,506;7293,727;5013,39;5142,935;Cartago;Cartago;Exportaciones totales por trabajador
8876,993;8985,553;9914,344;8643,04;18388,53;19805,38;El Guarco;Cartago;Exportaciones totales por trabajador
282,2045;151,5429;117,4661;79,19765;171,2446;193,6654;Jiménez;Cartago;Exportaciones totales por trabajador
1432,618;1278,487;1383,375;1232,803;825,0772;884,2135;La Unión;Cartago;Exportaciones totales por trabajador
408,4414;419,3397;568,6396;466,6838;640,3798;949,4811;Oreamuno;Cartago;Exportaciones totales por trabajador
1348,337;1353,683;1443,882;1243,481;1358,74;1202,229;Paraíso;Cartago;Exportaciones totales por trabajador
796,884;852,6865;909,1343;892,3942;1563,929;1577,09;Turrialba;Cartago;Exportaciones totales por trabajador
681,5455;870,4146;506,7884;3814,767;2049,303;2344,522;Abangares;Guanacaste;Exportaciones totales por trabajador
175,0193;275,0968;261,0331;85,7298;101,0965;143,8298;Bagaces;Guanacaste;Exportaciones totales por trabajador
2667,852;4782,577;6035,613;5536,292;6033,94;5974,062;Cañas;Guanacaste;Exportaciones totales por trabajador
