2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
206.9664,206.9664,206.9664,208.4043,209.8422,195.9289,Alajuela,Alajuela,Índice de concentración de actividades
701.7476,701.7476,701.7476,755.3691,808.9905,749.0531,Alfaro Ruiz,Alajuela,Índice de concentración de actividades
581.2776,581.2776,581.2776,512.567,443.8563,415.5921,Atenas,Alajuela,Índice de concentración de actividades
234.3888,234.3888,234.3888,234.9932,235.5975,220.7497,Grecia,Alajuela,Índice de concentración de actividades
825,825,825,844.5988,864.1976,945.8655,Guatuso,Alajuela,Índice de concentración de actividades
496.9836,496.9836,496.9836,515.6967,534.4099,800,Los Chiles,Alajuela,Índice de concentración de actividades
424.4215,424.4215,424.4215,429.6299,434.8383,421.5779,Naranjo,Alajuela,Índice de concentración de actividades
732.5331,732.5331,732.5331,653.7665,575,481.4815,Orotina,Alajuela,Índice de concentración de actividades
307.4149,307.4149,307.4149,270.4838,233.5527,226.9126,Palmares,Alajuela,Índice de concentración de actividades
431.6214,431.6214,431.6214,427.2383,422.8553,374.5541,Poás,Alajuela,Índice de concentración de actividades
281.051,281.051,281.051,282.1692,283.2874,258.3277,San Carlos,Alajuela,Índice de concentración de actividades
816,816,816,827.5011,839.0023,841.8367,San Mateo,Alajuela,Índice de concentración de actividades
321.6474,321.6474,321.6474,320.6948,319.7421,293.6104,San Ramón,Alajuela,Índice de concentración de actividades
534.4668,534.4668,534.4668,485.4874,436.5079,576.64,Upala,Alajuela,Índice de concentración de actividades
390.1618,390.1618,390.1618,352.7179,315.274,668.639,Valverde Vega,Alajuela,Índice de concentración de actividades
692.1487,692.1487,692.1487,643.8583,595.5679,485.5372,Alvarado,Cartago,Índice de concentración de actividades
227.4899,227.4899,227.4899,227.6646,227.8392,208.5276,Cartago,Cartago,Índice de concentración de actividades
331.8012,331.8012,331.8012,296.6196,261.4379,218.1359,El Guarco,Cartago,Índice de concentración de actividades
937.5,937.5,937.5,890.9722,844.4444,1065.089,Jiménez,Cartago,Índice de concentración de actividades
457.6389,457.6389,457.6389,371.4498,285.2608,218.5059,La Unión,Cartago,Índice de concentración de actividades
486.4284,486.4284,486.4284,446.6256,406.8228,453.2545,Oreamuno,Cartago,Índice de concentración de actividades
536.686,536.686,536.686,452.464,368.242,297.6036,Paraíso,Cartago,Índice de concentración de actividades
314.0655,314.0655,314.0655,319.4293,324.7931,297.3394,Turrialba,Cartago,Índice de concentración de actividades
1100.542,1100.542,1100.542,1033.614,966.6865,1092,Abangares,Guanacaste,Índice de concentración de actividades
1038.073,1038.073,1038.073,1000.086,962.0992,986.9203,Bagaces,Guanacaste,Índice de concentración de actividades
539.3005,539.3005,539.3005,474.5683,409.8361,408.284,Cañas,Guanacaste,Índice de concentración de actividades
643.0014,643.0014,643.0014,590.7751,538.5488,539.6104,Carrillo,Guanacaste,Índice de concentración de actividades
519.0083,519.0083,519.0083,489.5991,460.1899,453.6489,Hojancha,Guanacaste,Índice de concentración de actividades
775.0472,775.0472,775.0472,759.4959,743.9446,675,La Cruz,Guanacaste,Índice de concentración de actividades
429.3219,429.3219,429.3219,431.1609,432.9998,427.4832,Liberia,Guanacaste,Índice de concentración de actividades
684.3469,684.3469,684.3469,722.2904,760.2339,953.2505,Nandayure,Guanacaste,Índice de concentración de actividades
659.3495,659.3495,659.3495,588.2552,517.161,468.2056,Nicoya,Guanacaste,Índice de concentración de actividades
679.7521,679.7521,679.7521,611.4877,543.2233,523.8755,Santa Cruz,Guanacaste,Índice de concentración de actividades
857.8564,857.8564,857.8564,828.2731,798.6898,887.6352,Tilarán,Guanacaste,Índice de concentración de actividades
458.9792,458.9792,458.9792,415.4989,372.0185,325.5007,Barva,Heredia,Índice de concentración de actividades
211.0441,211.0441,211.0441,218.0741,225.1041,190.6755,Belén,Heredia,Índice de concentración de actividades
327.1111,327.1111,327.1111,282.4752,237.8393,223.8322,Flores,Heredia,Índice de concentración de actividades
251.1839,251.1839,251.1839,250.2759,249.368,242.4943,Heredia,Heredia,Índice de concentración de actividades
687.8893,687.8893,687.8893,648.0867,608.2841,486.0199,San Isidro,Heredia,Índice de concentración de actividades
847.7509,847.7509,847.7509,753.088,658.4252,482.1037,San Pablo,Heredia,Índice de concentración de actividades
