2006,2007,2008,2009,2010,2011,Cantón,Provincia,Variables
0.4770681,0.5001824,0.485803,0.5212482,0.5257704,0.4937815,Alajuela,Alajuela,Pilar empresarial
0.1498558,0.1596877,0.1292841,0.1604734,0.1425399,0.1359751,Alfaro Ruiz,Alajuela,Pilar empresarial
0.1585977,0.1719236,0.155643,0.1839176,0.2264073,0.2288521,Atenas,Alajuela,Pilar empresarial
0.3396657,0.3469164,0.3560935,0.3567153,0.3593835,0.3355816,Grecia,Alajuela,Pilar empresarial
0.0895355,0.0769604,0.0781773,0.078223,0.0635849,0.0584607,Guatuso,Alajuela,Pilar empresarial
0.08828,0.0929721,0.0954503,0.0952845,0.1222236,0.0691873,Los Chiles,Alajuela,Pilar empresarial
0.1924933,0.1975041,0.1944995,0.2159331,0.22498,0.2015303,Naranjo,Alajuela,Pilar empresarial
0.1769255,0.1917795,0.1845186,0.2169849,0.2201986,0.2224287,Orotina,Alajuela,Pilar empresarial
0.3662431,0.3734841,0.3856322,0.4135925,0.459728,0.4034631,Palmares,Alajuela,Pilar empresarial
0.2039142,0.2062365,0.2054214,0.2415481,0.2517692,0.2491986,Poás,Alajuela,Pilar empresarial
0.3045494,0.3157091,0.3154121,0.3337187,0.3400708,0.3232038,San Carlos,Alajuela,Pilar empresarial
0.1074314,0.0971368,0.1129287,0.1006689,0.1087383,0.0976604,San Mateo,Alajuela,Pilar empresarial
0.2539864,0.2582832,0.2499049,0.2730879,0.2693432,0.2627937,San Ramón,Alajuela,Pilar empresarial
0.1045415,0.1104482,0.0967948,0.1276388,0.1379063,0.0821067,Upala,Alajuela,Pilar empresarial
0.2334303,0.2480483,0.2306299,0.2495364,0.2891964,0.1528119,Valverde Vega,Alajuela,Pilar empresarial
0.0663802,0.0825727,0.0779931,0.0862481,0.1059673,0.1086597,Alvarado,Cartago,Pilar empresarial
0.4121793,0.4203703,0.4261222,0.4326846,0.4361162,0.4074836,Cartago,Cartago,Pilar empresarial
0.3088146,0.3299381,0.3540478,0.397491,0.4152862,0.4024331,El Guarco,Cartago,Pilar empresarial
