2006;2007;2008;2009;2010;2011;Cantón;Provincia;Variables
0,4444444;0,5176471;0,500998;0,4967177;0,5518764;0,6013363;Alajuela;Alajuela;Porcentaje de empresas exportadoras
0,0412371;0,049505;0,0285714;0,032967;0,03125;0,030303;Alfaro Ruiz;Alajuela;Porcentaje de empresas exportadoras
0,0561798;0,0666667;0,0576923;0,0095238;0,0571429;0,0603448;Atenas;Alajuela;Porcentaje de empresas exportadoras
0,1217712;0,1161049;0,1080139;0,09375;0,1019608;0,1171875;Grecia;Alajuela;Porcentaje de empresas exportadoras
0,1219512;0,0697674;0,097561;0,0652174;0,0227273;0,0487805;Guatuso;Alajuela;Porcentaje de empresas exportadoras
0;0;0,0333333;0;0,0487805;0,0526316;Los Chiles;Alajuela;Porcentaje de empresas exportadoras
0,0991736;0,0909091;0,1;0,112069;0,1478261;0,1349206;Naranjo;Alajuela;Porcentaje de empresas exportadoras
0,1034483;0,137931;0,1232877;0,1607143;0,1403509;0,1607143;Orotina;Alajuela;Porcentaje de empresas exportadoras
0,21875;0,2258064;0,2109375;0,2237762;0,2173913;0,2193548;Palmares;Alajuela;Porcentaje de empresas exportadoras
0,1326531;0,127907;0,1666667;0,1884058;0,2027027;0,2647059;Poás;Alajuela;Porcentaje de empresas exportadoras
0,1524501;0,1501767;0,1509121;0,1362862;0,1734198;0,172956;San Carlos;Alajuela;Porcentaje de empresas exportadoras
0,1666667;0,0714286;0,0526316;0,0625;0,0555556;0,0555556;San Mateo;Alajuela;Porcentaje de empresas exportadoras
0,1461187;0,1527778;0,1072961;0,1037344;0,1130435;0,1330472;San Ramón;Alajuela;Porcentaje de empresas exportadoras
0,0519481;0,060241;0,0693069;0,0540541;0,048;0,0320513;Upala;Alajuela;Porcentaje de empresas exportadoras
0,1518987;0,1263158;0,1162791;0,0897436;0,0879121;0,0697674;Valverde Vega;Alajuela;Porcentaje de empresas exportadoras
0,0425532;0,0652174;0,0784314;0,0178571;0,0645161;0,046875;Alvarado;Cartago;Porcentaje de empresas exportadoras
0,2522936;0,2601432;0,2994012;0,2235577;0,2367816;0,2440087;Cartago;Cartago;Porcentaje de empresas exportadoras
0,3846154;0,4385965;0,5964912;0,4714286;0,4736842;0,4691358;El Guarco;Cartago;Porcentaje de empresas exportadoras
0,1666667;0,0769231;0,0714286;0,0625;0,0625;0,0555556;Jiménez;Cartago;Porcentaje de empresas exportadoras
0,4050633;0,4567901;0,3809524;0,3589744;0,3617021;0,3055556;La Unión;Cartago;Porcentaje de empresas exportadoras
0,2741936;0,2631579;0,3269231;0,2631579;0,2238806;0,1764706;Oreamuno;Cartago;Porcentaje de empresas exportadoras
0,2083333;0,23;0,2135922;0,1792453;0,1875;0,1983471;Paraíso;Cartago;Porcentaje de empresas exportadoras
